month	country	direction	code	category	measure	value	netto	quantity	region	district	meta_year	meta_month
12/2017	KZ	ЭК	8207199009	СМЕННЫЕ РАБОЧИЕ ИНСТРУМЕНТЫ ДЛЯ РУЧНЫХ ИНСТРУМЕНТОВ, С МЕХАНИЧЕСКИМ ПРИВОДОМ ИЛИ БЕЗ НЕГО ИЛИ ДЛЯ СТАНКОВ (НАПРИМЕР, ДЛЯ ПРЕССОВАНИЯ, ШТАМПОВКИ, ВЫРУБКИ, НАРЕЗАНИЯ РЕЗЬБЫ, СВЕРЛЕНИЯ, РАСТАЧИВАНИЯ, ПРОТЯГИВАНИЯ, ФРЕЗЕРОВАНИЯ, ТОКАРНОЙ ОБРАБОТКИ ИЛИ ЗАВИНЧИВАНИЯ), ВКЛЮЧАЯ ФИЛЬЕРЫ ДЛЯ ВОЛОЧЕНИЯ ИЛИ ЭКСТРУДИРОВАНИЯ МЕТАЛЛА, ИНСТРУМЕНТЫ ДЛЯ БУРЕНИЯ СКАЛЬНЫХ ПОРОД ИЛИ ГРУНТОВ	1	14177	987	0	80000	4	2017	12
12/2017	US	ИМ	4008190000	ПЛАСТИНЫ, ЛИСТЫ, ПОЛОСЫ ИЛИ ЛЕНТЫ, ПРУТКИ И ПРОФИЛИ ФАСОННЫЕ ИЗ ВУЛКАНИЗОВАННОЙ РЕЗИНЫ, КРОМЕ ТВЕРДОЙ РЕЗИНЫ	1	90	2	0	46000	1	2017	12
12/2017	JP	ИМ	6704190000	ПАРИКИ, БОРОДЫ НАКЛАДНЫЕ, БРОВИ И РЕСНИЦЫ, НАКЛАДКИ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ ЧЕЛОВЕЧЕСКОГО ВОЛОСА ИЛИ ВОЛОСА ЖИВОТНЫХ ИЛИ ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ; ИЗДЕЛИЯ ИЗ ЧЕЛОВЕЧЕСКОГО ВОЛОСА, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ	1	110	11	0	45000	1	2017	12
12/2017	NL	ИМ	3208909109	КРАСКИ И ЛАКИ (ВКЛЮЧАЯ ЭМАЛИ И ПОЛИТУРЫ) НА ОСНОВЕ СИНТЕТИЧЕСКИХ ПОЛИМЕРОВ ИЛИ ХИМИЧЕСКИ МОДИФИЦИРОВАННЫХ ПРИРОДНЫХ ПОЛИМЕРОВ, ДИСПЕРГИРОВАННЫЕ ИЛИ РАСТВОРЕННЫЕ В НЕВОДНОЙ СРЕДЕ; РАСТВОРЫ, УКАЗАННЫЕ В ПРИМЕЧАНИИ 4 К ДАННОЙ ГРУППЕ	1	27491	5887	0	92000	4	2017	12
12/2017	GB	ИМ	9026900000	ПРИБОРЫ И АППАРАТУРА ДЛЯ ИЗМЕРЕНИЯ ИЛИ КОНТРОЛЯ РАСХОДА, УРОВНЯ, ДАВЛЕНИЯ ИЛИ ДРУГИХ ПЕРЕМЕННЫХ ХАРАКТЕРИСТИК ЖИДКОСТЕЙ ИЛИ ГАЗОВ (НАПРИМЕР, РАСХОДОМЕРЫ, УКАЗАТЕЛИ УРОВНЯ, МАНОМЕТРЫ, ТЕПЛОМЕРЫ), КРОМЕ ПРИБОРОВ И АППАРАТУРЫ ТОВАРНОЙ ПОЗИЦИИ 9014, 9015, 9028 ИЛИ 9032	1	1882	5	0	92000	4	2017	12
12/2017	IR	ЭК	4407119300	ЛЕСОМАТЕРИАЛЫ, ПОЛУЧЕННЫЕ РАСПИЛОВКОЙ ИЛИ РАСЩЕПЛЕНИЕМ ВДОЛЬ, СТРОГАНИЕМ ИЛИ ЛУЩЕНИЕМ, НЕ ОБРАБОТАННЫЕ ИЛИ ОБРАБОТАННЫЕ СТРОГАНИЕМ, ШЛИФОВАНИЕМ, ИМЕЮЩИЕ ИЛИ НЕ ИМЕЮЩИЕ ТОРЦЕВЫЕ СОЕДИНЕНИЯ, ТОЛЩИНОЙ БОЛЕЕ 6 ММ	М3	349600	1138161	2119	12000	3	2017	12
12/2017	MN	ЭК	8535400000	АППАРАТУРА ЭЛЕКТРИЧЕСКАЯ ДЛЯ КОММУТАЦИИ ИЛИ ЗАЩИТЫ ЭЛЕКТРИЧЕСКИХ ЦЕПЕЙ ИЛИ ДЛЯ ПОДСОЕДИНЕНИЙ К ЭЛЕКТРИЧЕСКИМ ЦЕПЯМ ИЛИ В ЭЛЕКТРИЧЕСКИХ ЦЕПЯХ (НАПРИМЕР, ВЫКЛЮЧАТЕЛИ, ПЕРЕКЛЮЧАТЕЛИ, ПРЕРЫВАТЕЛИ, ПЛАВКИЕ ПРЕДОХРАНИТЕЛИ, МОЛНИЕОТВОДЫ, ОГРАНИЧИТЕЛИ НАПРЯЖЕНИЯ, ГАСИТЕЛИ СКАЧКОВ НАПРЯЖЕНИЯ, ТОКОПРИЕМНИКИ, ТОКОСЪЕМНИКИ И ПРОЧИЕ СОЕДИНИТЕЛИ, СОЕДИНИТЕЛЬНЫЕ КОРОБКИ) НА НАПРЯЖЕНИЕ БОЛЕЕ 1000 В	1	17553	820	0	40000	2	2017	12
12/2017	BE	ИМ	4016999109	ИЗДЕЛИЯ ИЗ ВУЛКАНИЗОВАННОЙ РЕЗИНЫ, КРОМЕ ТВЕРДОЙ РЕЗИНЫ, ПРОЧИЕ	1	165	2	0	92000	4	2017	12
12/2017	JP	ИМ	8412298109	ДВИГАТЕЛИ И СИЛОВЫЕ УСТАНОВКИ ПРОЧИЕ	ШТ	27528	464	6	5000	7	2017	12
12/2017	VN	ИМ	9506701000	ИНВЕНТАРЬ И ОБОРУДОВАНИЕ ДЛЯ ЗАНЯТИЙ ОБЩЕЙ ФИЗКУЛЬТУРОЙ, ГИМНАСТИКОЙ, ЛЕГКОЙ АТЛЕТИКОЙ, ПРОЧИМИ ВИДАМИ СПОРТА (ВКЛЮЧАЯ НАСТОЛЬНЫЙ ТЕННИС) ИЛИ ДЛЯ ИГР НА ОТКРЫТОМ ВОЗДУХЕ, В ДРУГОМ МЕСТЕ ДАННОЙ ГРУППЫ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ; БАССЕЙНЫ ПЛАВАТЕЛЬНЫЕ И БАССЕЙНЫ ДЛЯ ДЕТЕЙ	ПАР	101015	889	420	45000	1	2017	12
12/2017	CN	ИМ	6402995000	ПРОЧАЯ ОБУВЬ С ПОДОШВОЙ И С ВЕРХОМ ИЗ РЕЗИНЫ ИЛИ ПЛАСТМАССЫ	ПАР	15518	1450	7320	46000	1	2017	12
12/2017	BY	ЭК	7013371000	ПОСУДА СТОЛОВАЯ И КУХОННАЯ, ПРИНАДЛЕЖНОСТИ ТУАЛЕТНЫЕ И КАНЦЕЛЯРСКИЕ, ИЗДЕЛИЯ ДЛЯ ДОМАШНЕГО УБРАНСТВА ИЛИ АНАЛОГИЧНЫХ ЦЕЛЕЙ, СТЕКЛЯННЫЕ (КРОМЕ ИЗДЕЛИЙ ТОВАРНОЙ ПОЗИЦИИ 7010 ИЛИ 7018)	ШТ	1549	526	725	66000	1	2017	12
12/2017	BY	ЭК	5609000000	ПРОЧЕЕ	1	24151	9605	0	40000	2	2017	12
12/2017	KZ	ЭК	8302411000	КРЕПЕЖНАЯ АРМАТУРА, ФУРНИТУРА И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ, ИСПОЛЬЗУЕМЫЕ ДЛЯ МЕБЕЛИ, ДВЕРЕЙ, ЛЕСТНИЦ, ОКОН, ШТОР, В САЛОНАХ ТРАНСПОРТНЫХ СРЕДСТВ, ШОРНЫХ ИЗДЕЛИЙ, ЧЕМОДАНОВ, ЯЩИКОВ, ШКАТУЛОК ИЛИ АНАЛОГИЧНЫХ ИЗДЕЛИЙ; ВЕШАЛКИ ДЛЯ ШЛЯП, КРЮЧКИ ДЛЯ ШЛЯП, КРОНШТЕЙНЫ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; МЕБЕЛЬНЫЕ КОЛЕСА С КРЕПЕЖНЫМИ ПРИСПОСОБЛЕНИЯМИ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; АВТОМАТИЧЕСКИЕ УСТРОЙСТВА ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ ДЛЯ ЗАКРЫВАНИЯ ДВЕРЕЙ	1	20682	2166	0	49000	2	2017	12
12/2017	CN	ИМ	6116910000	ПЕРЧАТКИ, РУКАВИЦЫ И МИТЕНКИ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ	ПАР	52	0	4	20000	1	2017	12
12/2017	BY	ЭК	9403901000	МЕБЕЛЬ ПРОЧАЯ И ЕЕ ЧАСТИ	1	36239	21056	0	34000	1	2017	12
12/2017	LT	ИМ	9403603000	МЕБЕЛЬ ПРОЧАЯ И ЕЕ ЧАСТИ	ШТ	23308	1668	5	27000	2	2017	12
12/2017	AE	ЭК	3811290000	АНТИДЕТОНАТОРЫ, АНТИОКСИДАНТЫ, ИНГИБИТОРЫ СМОЛООБРАЗОВАНИЯ, РЕГУЛЯТОРЫ ВЯЗКОСТИ, АНТИКОРРОЗИОННЫЕ ВЕЩЕСТВА И ПРИСАДКИ ГОТОВЫЕ ПРОЧИЕ К НЕФТЕПРОДУКТАМ (ВКЛЮЧАЯ БЕНЗИН) ИЛИ ДРУГИМ ЖИДКОСТЯМ, ИСПОЛЬЗУЕМЫМ В ТЕХ ЖЕ ЦЕЛЯХ, ЧТО И НЕФТЕПРОДУКТЫ	1	2646	162	0	92000	4	2017	12
12/2017	LV	ИМ	2204219600	ВИНА ВИНОГРАДНЫЕ НАТУРАЛЬНЫЕ, ВКЛЮЧАЯ КРЕПЛЕНЫЕ; СУСЛО ВИНОГРАДНОЕ, КРОМЕ УКАЗАННОГО В ТОВАРНОЙ ПОЗИЦИИ 2009	Л	1208	89	45	7000	8	2017	12
12/2017	SE	ИМ	7318165000	ВИНТЫ, БОЛТЫ, ГАЙКИ, ГЛУХАРИ, ВВЕРТНЫЕ КРЮКИ, ЗАКЛЕПКИ, ШПОНКИ, ШПЛИНТЫ, ШАЙБЫ (ВКЛЮЧАЯ ПРУЖИННЫЕ) И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	693	25	0	46000	1	2017	12
12/2017	CN	ЭК	8305900000	ФУРНИТУРА ДЛЯ СКОРОСШИВАТЕЛЕЙ ИЛИ ПАПОК, КАНЦЕЛЯРСКИЕ ЗАЖИМЫ И СКРЕПКИ, ИНДЕКСНЫЕ КАРТОЧНЫЕ УКАЗАТЕЛИ И АНАЛОГИЧНЫЕ КАНЦЕЛЯРСКИЕ ИЗДЕЛИЯ, ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; ПРОВОЛОЧНЫЕ СКОБЫ В БЛОКАХ (НАПРИМЕР, ДЛЯ КАНЦЕЛЯРСКИХ ЦЕЛЕЙ, ОБИВКИ МЕБЕЛИ, УПАКОВКИ), ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ	1	497	0	0	61000	1	2017	12
12/2017	BY	ЭК	5602109000	ВОЙЛОК ИЛИ ФЕТР, ПРОПИТАННЫЕ ИЛИ НЕПРОПИТАННЫЕ, С ПОКРЫТИЕМ ИЛИ БЕЗ ПОКРЫТИЯ, ДУБЛИРОВАННЫЕ ИЛИ НЕДУБЛИРОВАННЫЕ	1	67741	39556	0	38000	1	2017	12
12/2017	KZ	ЭК	3005909900	ВАТА, МАРЛЯ, БИНТЫ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ (НАПРИМЕР, ПЕРЕВЯЗОЧНЫЙ МАТЕРИАЛ, ЛЕЙКОПЛАСТЫРИ, ПРИПАРКИ), ПРОПИТАННЫЕ ИЛИ ПОКРЫТЫЕ ФАРМАЦЕВТИЧЕСКИМИ ВЕЩЕСТВАМИ ИЛИ РАСФАСОВАННЫЕ В ФОРМЫ ИЛИ УПАКОВКИ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ ИСПОЛЬЗОВАНИЯ В МЕДИЦИНЕ, ХИРУРГИИ, СТОМАТОЛОГИИ ИЛИ ВЕТЕРИНАРИИ	1	2478	168	0	50000	6	2017	12
12/2017	MD	ЭК	3004490009	ЛЕКАРСТВЕННЫЕ СРЕДСТВА (КРОМЕ ТОВАРОВ ТОВАРНОЙ ПОЗИЦИИ 3002, 3005 ИЛИ 3006), СОСТОЯЩИЕ ИЗ СМЕШАННЫХ ИЛИ НЕСМЕШАННЫХ ПРОДУКТОВ, ДЛЯ ИСПОЛЬЗОВАНИЯ В ТЕРАПЕВТИЧЕСКИХ ИЛИ ПРОФИЛАКТИЧЕСКИХ ЦЕЛЯХ, РАСФАСОВАННЫЕ В ВИДЕ ДОЗИРОВАННЫХ ЛЕКАРСТВЕННЫХ ФОРМ (ВКЛЮЧАЯ ЛЕКАРСТВЕННЫЕ СРЕДСТВА В ФОРМЕ ТРАНСДЕРМАЛЬНЫХ СИСТЕМ) ИЛИ В ФОРМЫ  ИЛИ УПАКОВКИ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ	1	17429	547	0	22000	4	2017	12
12/2017	AM	ЭК	2103309000	ПРОДУКТЫ ДЛЯ ПРИГОТОВЛЕНИЯ СОУСОВ И ГОТОВЫЕ СОУСЫ; ВКУСОВЫЕ ДОБАВКИ И ПРИПРАВЫ СМЕШАННЫЕ; ГОРЧИЧНЫЙ ПОРОШОК И ГОТОВАЯ ГОРЧИЦА	1	803	596	0	92000	4	2017	12
12/2017	TN	ИМ	6104630000	КОСТЮМЫ, КОМПЛЕКТЫ, ЖАКЕТЫ, БЛАЙЗЕРЫ, ПЛАТЬЯ, ЮБКИ, ЮБКИ-БРЮКИ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ, ЖЕНСКИЕ ИЛИ ДЛЯ ДЕВОЧЕК	ШТ	2128	6	23	46000	1	2017	12
12/2017	IN	ЭК	4901100000	ПЕЧАТНЫЕ КНИГИ, БРОШЮРЫ, ЛИСТОВКИ И АНАЛОГИЧНЫЕ ПЕЧАТНЫЕ МАТЕРИАЛЫ, СБРОШЮРОВАННЫЕ ИЛИ В ВИДЕ ОТДЕЛЬНЫХ ЛИСТОВ	1	131	1	0	70000	1	2017	12
12/2017	CN	ИМ	5407520000	ТКАНИ ИЗ СИНТЕТИЧЕСКИХ КОМПЛЕКСНЫХ НИТЕЙ, ВКЛЮЧАЯ ТКАНИ, ИЗГОТАВЛИВАЕМЫЕ ИЗ МАТЕРИАЛОВ ТОВАРНОЙ ПОЗИЦИИ 5404	М2	11126	1558	6897	60000	3	2017	12
12/2017	BY	ЭК	0806209000	ВИНОГРАД, СВЕЖИЙ ИЛИ СУШЕНЫЙ	1	1859	508	0	66000	1	2017	12
12/2017	TJ	ЭК	7010904300	БУТЫЛИ, БУТЫЛКИ, ФЛАКОНЫ, КУВШИНЫ, ГОРШКИ, БАНКИ, АМПУЛЫ И ПРОЧИЕ СТЕКЛЯННЫЕ ЕМКОСТИ ДЛЯ ТРАНСПОРТИРОВКИ ИЛИ УПАКОВКИ ТОВАРОВ; БАНКИ ДЛЯ КОНСЕРВИРОВАНИЯ СТЕКЛЯННЫЕ; ПРЕДОХРАНИТЕЛЬНЫЕ ПРОБКИ ИЗ СТЕКЛА, ПРОБКИ, КРЫШКИ И ПРОЧИЕ АНАЛОГИЧНЫЕ СТЕКЛЯННЫЕ ИЗДЕЛИЯ	ШТ	11778	36400	99008	28000	1	2017	12
12/2017	UA	ИМ	8436100000	ОБОРУДОВАНИЕ ДЛЯ СЕЛЬСКОГО ХОЗЯЙСТВА, САДОВОДСТВА, ЛЕСНОГО ХОЗЯЙСТВА, ПТИЦЕВОДСТВА ИЛИ ПЧЕЛОВОДСТВА, ВКЛЮЧАЯ ОБОРУДОВАНИЕ ДЛЯ ПРОРАЩИВАНИЯ СЕМЯН С МЕХАНИЧЕСКИМИ ИЛИ НАГРЕВАТЕЛЬНЫМИ УСТРОЙСТВАМИ, ПРОЧЕЕ; ИНКУБАТОРЫ ДЛЯ ПТИЦЕВОДСТВА И БРУДЕРЫ	ШТ	1775	1278	120	60000	3	2017	12
12/2017	KG	ЭК	1806905002	ШОКОЛАД И ПРОЧИЕ ГОТОВЫЕ ПИЩЕВЫЕ ПРОДУКТЫ, СОДЕРЖАЩИЕ КАКАО	1	13690	9559	0	32000	6	2017	12
12/2017	KZ	ЭК	6911100000	ПОСУДА СТОЛОВАЯ, КУХОННАЯ И ПРОЧИЕ ХОЗЯЙСТВЕННЫЕ И ТУАЛЕТНЫЕ ИЗДЕЛИЯ ИЗ ФАРФОРА	1	63	6	0	71000	5	2017	12
12/2017	HU	ЭК	4407129100	ЛЕСОМАТЕРИАЛЫ, ПОЛУЧЕННЫЕ РАСПИЛОВКОЙ ИЛИ РАСЩЕПЛЕНИЕМ ВДОЛЬ, СТРОГАНИЕМ ИЛИ ЛУЩЕНИЕМ, НЕ ОБРАБОТАННЫЕ ИЛИ ОБРАБОТАННЫЕ СТРОГАНИЕМ, ШЛИФОВАНИЕМ, ИМЕЮЩИЕ ИЛИ НЕ ИМЕЮЩИЕ ТОРЦЕВЫЕ СОЕДИНЕНИЯ, ТОЛЩИНОЙ БОЛЕЕ 6 ММ	М3	25334	65641	146	19000	2	2017	12
12/2017	CN	ИМ	8714999009	ЧАСТИ И ПРИНАДЛЕЖНОСТИ К ТРАНСПОРТНЫМ СРЕДСТВАМ ТОВАРНЫХ ПОЗИЦИЙ 8711 - 8713	1	637603	159120	0	46000	1	2017	12
12/2017	KZ	ЭК	7326200009	ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ ПРОЧИЕ	1	8369	1627	0	83000	8	2017	12
12/2017	IT	ИМ	7411290000	ТРУБЫ И ТРУБКИ МЕДНЫЕ	1	4405	460	0	27000	2	2017	12
12/2017	ES	ИМ	4410113000	ПЛИТЫ ДРЕВЕСНО-СТРУЖЕЧНЫЕ, ПЛИТЫ С ОРИЕНТИРОВАННОЙ СТРУЖКОЙ (OSB) И АНАЛОГИЧНЫЕ ПЛИТЫ (НАПРИМЕР, ВАФЕЛЬНЫЕ ПЛИТЫ) ИЗ ДРЕВЕСИНЫ ИЛИ ДРУГИХ ОДРЕВЕСНЕВШИХ МАТЕРИАЛОВ, НЕ ПРОПИТАННЫЕ ИЛИ ПРОПИТАННЫЕ СМОЛАМИ ИЛИ ДРУГИМИ ОРГАНИЧЕСКИМИ СВЯЗУЮЩИМИ ВЕЩЕСТВАМИ	М3	10700	12760	18	41000	2	2017	12
12/2017	CN	ЭК	2203000100	ПРОЧЕЕ	Л	159217	357312	347805	5000	7	2017	12
12/2017	CN	ИМ	6104320000	КОСТЮМЫ, КОМПЛЕКТЫ, ЖАКЕТЫ, БЛАЙЗЕРЫ, ПЛАТЬЯ, ЮБКИ, ЮБКИ-БРЮКИ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ, ЖЕНСКИЕ ИЛИ ДЛЯ ДЕВОЧЕК	ШТ	13586	187	321	46000	1	2017	12
12/2017	BY	ЭК	7320202009	ПРУЖИНЫ, РЕССОРЫ И ЛИСТЫ ДЛЯ НИХ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	6	0	0	73000	4	2017	12
12/2017	PL	ИМ	7308400009	МЕТАЛЛОКОНСТРУКЦИИ ИЗ ЧЕРНЫХ МЕТАЛЛОВ (КРОМЕ СБОРНЫХ СТРОИТЕЛЬНЫХ КОНСТРУКЦИЙ ТОВАРНОЙ ПОЗИЦИИ 9406) И ИХ ЧАСТИ (НАПРИМЕР, МОСТЫ И ИХ СЕКЦИИ, ВОРОТА ШЛЮЗОВ, БАШНИ, РЕШЕТЧАТЫЕ МАЧТЫ, ПЕРЕКРЫТИЯ ДЛЯ КРЫШ, СТРОИТЕЛЬНЫЕ ФЕРМЫ, ДВЕРИ И ОКНА И ИХ РАМЫ, ПОРОГИ ДЛЯ ДВЕРЕЙ, ЖАЛЮЗИ, БАЛЮСТРАДЫ, ОПОРЫ И КОЛОННЫ); ЛИСТЫ, ПРУТКИ, УГОЛКИ, ФАСОННЫЕ ПРОФИЛИ, ТРУБЫ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ ИСПОЛЬЗОВАНИЯ В МЕТАЛЛОКОНСТРУКЦИЯХ	1	206027	39557	0	45000	1	2017	12
12/2017	KZ	ЭК	8708949909	ЧАСТИ И ПРИНАДЛЕЖНОСТИ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ ТОВАРНЫХ ПОЗИЦИЙ 8701 - 8705	1	566	34	0	5000	7	2017	12
12/2017	US	ИМ	8202998000	ПИЛЫ РУЧНЫЕ; ПОЛОТНА ДЛЯ ПИЛ ВСЕХ ТИПОВ (ВКЛЮЧАЯ ПОЛОТНА ПИЛ ДЛЯ ПРОДОЛЬНОЙ РЕЗКИ, ДЛЯ ПРОРЕЗЫВАНИЯ ПАЗОВ ИЛИ БЕЗЗУБЫЕ)	1	3055	64	0	45000	1	2017	12
12/2017	UA	ЭК	3917229009	ТРУБЫ, ТРУБКИ, ШЛАНГИ И ИХ ФИТИНГИ (НАПРИМЕР, СОЕДИНЕНИЯ, КОЛЕНА, ФЛАНЦЫ), ИЗ ПЛАСТМАСС	1	12269	4913	0	3000	3	2017	12
