code,country,direction,district,measure,month,netto,quantity,region,value
8413708100,BY,ИМ,5,ШТ,01/2016,9,15,75000,95
8471490000,CN,ИМ,2,ШТ,01/2016,3554,350,40000,172309
8458190000,BY,ИМ,1,ШТ,01/2016,174,1,46000,3515
8607219000,ES,ИМ,1,1,01/2016,1026,0,28000,14005
8708705001,MX,ИМ,1,1,01/2016,5387,0,29000,41896
6804300000,CN,ИМ,2,1,01/2016,5093,0,40000,6701
8504408200,EE,ИМ,2,ШТ,01/2016,0,1,40000,44
6110309900,SV,ИМ,1,ШТ,01/2016,6,28,45000,322
7308905900,SE,ИМ,2,1,01/2016,990,0,40000,3871
3215110000,BY,ИМ,1,1,01/2016,200,0,45000,978
6506101000,PK,ИМ,1,ШТ,01/2016,307,912,45000,6107
2005400000,HU,ИМ,1,1,01/2016,3901,0,45000,2296
5208310000,IT,ИМ,1,М2,01/2016,575,3750,45000,4275
2829110000,FI,ИМ,2,1,01/2016,720000,0,41000,412845
7307291008,CN,ИМ,5,1,01/2016,120,0,65000,1642
6116930000,JP,ИМ,1,ПАР,01/2016,1,80,45000,202
7306301100,BY,ИМ,2,1,01/2016,66,0,40000,253
5516220000,CN,ИМ,3,М2,01/2016,3335,18472,60000,30498
8517620003,NO,ИМ,1,ШТ,01/2016,6,5,45000,2647
8413302008,KR,ИМ,2,1,01/2016,22,0,58000,494
4016920000,ES,ИМ,1,1,01/2016,1375,0,45000,5380
7007212009,BY,ИМ,4,1,01/2016,9,0,57000,70
7318220009,GB,ИМ,1,1,01/2016,62,0,45000,7572
8421230000,BR,ИМ,4,ШТ,01/2016,89,1350,36000,1178
4009320000,LT,ИМ,1,1,01/2016,1089,0,45000,5776
7318156900,FR,ИМ,2,1,01/2016,18,0,41000,480
4010350000,JP,ИМ,6,1,01/2016,101,0,25000,308
3006400000,DE,ИМ,2,1,01/2016,213,0,40000,84042
7318149900,KR,ИМ,1,1,01/2016,520,0,29000,2389
8484200000,US,ИМ,7,ШТ,01/2016,5,6,64000,18287
0702000001,KZ,ИМ,6,1,01/2016,62688,0,50000,59216
9401610000,IT,ИМ,2,ШТ,01/2016,1126,50,27000,18198
8536501907,BR,ИМ,1,1,01/2016,2,0,45000,129
0804300001,CR,ИМ,4,1,01/2016,38173,0,36000,55479
8502202000,DE,ИМ,1,ШТ,01/2016,460,4,46000,7462
7307910000,SK,ИМ,1,1,01/2016,1,0,46000,53
9018903000,DE,ИМ,1,ШТ,01/2016,64344,106533,45000,737389
6105100000,CN,ИМ,5,ШТ,01/2016,4621,20150,65000,64568
8504221000,BY,ИМ,6,ШТ,01/2016,25570,9,50000,47629
7014000000,CH,ИМ,1,1,01/2016,18,0,45000,5773
0709991000,UZ,ИМ,4,1,01/2016,2054,0,53000,431
3824601900,FR,ИМ,1,1,01/2016,177900,0,45000,101156
1209300000,JP,ИМ,3,1,01/2016,0,0,60000,38
8301700000,NL,ИМ,1,1,01/2016,0,0,46000,5
2208401100,JM,ИМ,6,Л 100% СПИРТА,01/2016,93,24,76000,441
4016930005,IT,ИМ,6,1,01/2016,3,0,32000,446
4202918000,PL,ИМ,1,ШТ,01/2016,2,20,45000,599
0602400000,NL,ИМ,1,ШТ,01/2016,2736,9303,46000,9662
3402209000,BY,ИМ,1,1,01/2016,19504,0,17000,3731
8413702100,BY,ИМ,1,ШТ,01/2016,0,1,66000,15
6102201000,BG,ИМ,1,ШТ,01/2016,142,201,45000,4576
3926909200,PL,ИМ,4,1,01/2016,35,0,22000,884
4010320000,DE,ИМ,1,1,01/2016,1816,0,46000,39538
6601999000,CN,ИМ,2,ШТ,01/2016,351,1020,40000,1618
4911990000,NL,ИМ,2,1,01/2016,114,0,40000,887
8542399010,PH,ИМ,1,ШТ,01/2016,66,262427,45000,124948
8542319010,PH,ИМ,2,ШТ,01/2016,1,9500,27000,6815
7318159009,FR,ИМ,1,1,01/2016,4903,0,45000,23431
1107101900,DE,ИМ,1,1,01/2016,4500,0,46000,2389
9025804000,PL,ИМ,2,ШТ,01/2016,3,18,40000,924
8202310000,BY,ИМ,5,1,01/2016,898,0,65000,10172
8544429007,DE,ИМ,1,1,01/2016,1,0,15000,210
9405205009,CN,ИМ,2,1,01/2016,735,0,41000,1987
7608202009,US,ИМ,1,1,01/2016,0,0,45000,868
4810921000,FI,ИМ,4,1,01/2016,80591,0,22000,100177
2509000000,ES,ИМ,1,1,01/2016,160000,0,46000,66094
8708949909,JP,ИМ,6,1,01/2016,1756,0,32000,1860
8421392009,NL,ИМ,2,ШТ,01/2016,22,20,41000,2915
8415900009,KR,ИМ,2,1,01/2016,8,0,40000,214
8708505509,ES,ИМ,1,1,01/2016,137,0,46000,1164
8536699008,PT,ИМ,1,1,01/2016,3041,0,45000,139250
7415330000,IT,ИМ,1,1,01/2016,0,0,28000,4
7318151000,SE,ИМ,1,1,01/2016,0,0,45000,381
0604209000,SK,ИМ,1,1,01/2016,201,0,45000,1858
7318159009,IT,ИМ,1,1,01/2016,0,0,15000,3
7216311000,UA,ИМ,3,1,01/2016,267401,0,3000,59373
8207130000,CA,ИМ,7,1,01/2016,957,0,64000,61461
7306619209,ES,ИМ,2,1,01/2016,660,0,40000,523
8481801900,LT,ИМ,2,1,01/2016,9,0,27000,149
7612909008,DE,ИМ,1,1,01/2016,2099,0,46000,22078
4820300000,CN,ИМ,6,1,01/2016,44470,0,50000,72429
8708951000,JP,ИМ,1,1,01/2016,1447,0,29000,18601
8523494500,CZ,ИМ,2,ШТ,01/2016,1,63,40000,9087
9613800000,CZ,ИМ,1,ШТ,01/2016,5,53,45000,1190
6104420000,PT,ИМ,2,ШТ,01/2016,5,8,27000,796
8302100000,CA,ИМ,1,1,01/2016,4,0,45000,181
2707509000,DE,ИМ,1,1,01/2016,1260,0,46000,1613
9017203900,CN,ИМ,7,ШТ,01/2016,2513,4205,5000,4657
8543709000,CN,ИМ,2,ШТ,01/2016,33726,425881,27000,773503
8429519900,CN,ИМ,7,ШТ,01/2016,6000,1,99000,8535
9405911000,CN,ИМ,1,1,01/2016,58258,0,45000,92270
4010390000,DE,ИМ,4,1,01/2016,1,0,97000,590
2921490000,CN,ИМ,1,1,01/2016,0,0,45000,126
7225409000,CZ,ИМ,2,1,01/2016,128,0,58000,785
8203400000,CN,ИМ,7,1,01/2016,1,0,77000,142
0808309000,CN,ИМ,7,1,01/2016,31531,0,8000,25279
8541409000,MY,ИМ,5,ШТ,01/2016,2,1075,65000,317
6806900000,CN,ИМ,1,1,01/2016,7199,0,14000,8847
7312108508,AT,ИМ,1,1,01/2016,1369,0,45000,6851
6210500000,DE,ИМ,1,1,01/2016,1,0,45000,29
2103200000,AM,ИМ,1,1,01/2016,1142,0,66000,1068
4819100000,BY,ИМ,1,1,01/2016,11583,0,15000,6732
7226993000,AT,ИМ,3,1,01/2016,8355,0,60000,7294
2106909200,DE,ИМ,1,1,01/2016,225824,0,45000,1416020
9609101000,CN,ИМ,3,1,01/2016,400,0,3000,1922
8509900000,CN,ИМ,2,1,01/2016,608,0,40000,4315
8708802009,CA,ИМ,4,1,01/2016,2233,0,92000,15310
3923301010,FR,ИМ,1,1,01/2016,8316,0,46000,21248
3402130000,CH,ИМ,1,1,01/2016,54,0,45000,785
7412200000,GB,ИМ,4,1,01/2016,20,0,92000,3045
6114300000,KZ,ИМ,1,1,01/2016,13,0,45000,1202
8415830000,DK,ИМ,2,ШТ,01/2016,269,2,40000,2109
8413820099,CZ,ИМ,4,ШТ,01/2016,1,4,92000,73
7307229000,KR,ИМ,7,1,01/2016,90,0,64000,10359
7323999100,PL,ИМ,1,1,01/2016,15038,0,45000,48439
6815109009,GB,ИМ,1,1,01/2016,4,0,45000,1910
6406209000,BY,ИМ,2,1,01/2016,34669,0,40000,45777
8482200009,GB,ИМ,4,ШТ,01/2016,28,36,92000,715
7308300000,IT,ИМ,1,1,01/2016,615,0,46000,4915
6906000000,KR,ИМ,5,1,01/2016,0,0,65000,242
9018903000,DE,ИМ,2,ШТ,01/2016,35625,149512,40000,1059684
3215190000,NL,ИМ,3,1,01/2016,18000,0,60000,40911
6110199009,BY,ИМ,1,ШТ,01/2016,22,79,66000,926
1905903000,CN,ИМ,7,1,01/2016,224,0,5000,426
4810921000,PL,ИМ,3,1,01/2016,39648,0,60000,48875
8421398007,JP,ИМ,5,ШТ,01/2016,33,1,75000,10294
8523495900,US,ИМ,2,ШТ,01/2016,1,5,40000,1051
8307100009,IT,ИМ,1,1,01/2016,15,0,46000,1714
9105210000,KZ,ИМ,1,ШТ,01/2016,3,5,45000,69
6403919800,BY,ИМ,4,ПАР,01/2016,64,86,63000,2195
8512909009,BY,ИМ,2,1,01/2016,187,0,40000,1603
2804610000,GB,ИМ,4,1,01/2016,6189,0,89000,112380
8504901800,IT,ИМ,4,1,01/2016,5120,0,97000,42067
7326909801,RO,ИМ,4,1,01/2016,128,0,92000,802
8516808000,IT,ИМ,2,ШТ,01/2016,18809,67322,41000,269323
1701991001,BR,ИМ,2,1,01/2016,1755000,0,27000,813753
8522908000,CN,ИМ,1,1,01/2016,48,0,45000,2860
5503200000,DE,ИМ,2,1,01/2016,5027,0,27000,9739
8421210009,IL,ИМ,2,ШТ,01/2016,13,1,40000,7667
3307490000,NL,ИМ,2,1,01/2016,3,0,40000,48
9607190000,HU,ИМ,2,М,01/2016,5,80,27000,206
8514900000,IT,ИМ,1,1,01/2016,262,0,45000,10776
8419500000,BG,ИМ,2,ШТ,01/2016,5,1,27000,6429
8708509109,CN,ИМ,7,1,01/2016,674,0,8000,843
8534009000,DE,ИМ,2,1,01/2016,1,0,40000,566
4822900000,DE,ИМ,1,1,01/2016,121,0,45000,201
8501320009,KR,ИМ,1,ШТ,01/2016,3,2,45000,726
2710198200,TR,ИМ,1,1,01/2016,732,0,45000,1366
3926909709,IN,ИМ,3,1,01/2016,22,0,60000,870
8302500000,SE,ИМ,2,1,01/2016,21,0,27000,146
8526100009,ID,ИМ,1,ШТ,01/2016,3,2,45000,4400
7318220009,LT,ИМ,2,1,01/2016,7,0,40000,1090
8421392009,ZA,ИМ,1,ШТ,01/2016,5,50,45000,231
8523529009,IN,ИМ,1,ШТ,01/2016,7650,1505100,45000,313954
3901101000,AT,ИМ,1,1,01/2016,1,0,45000,4
2621900000,PL,ИМ,2,1,01/2016,120000,0,27000,9256
9031908500,CN,ИМ,4,1,01/2016,19,0,80000,595
5911321100,DE,ИМ,2,М2,01/2016,237,229,27000,8219
9026900000,FR,ИМ,1,1,01/2016,0,0,46000,29
8511400008,FR,ИМ,1,ШТ,01/2016,1581,343,45000,16323
8412310009,GB,ИМ,2,ШТ,01/2016,9000,12000,27000,37725
8538909100,PL,ИМ,1,1,01/2016,45,0,45000,3817
3919101900,DE,ИМ,2,1,01/2016,1,0,27000,35
3904100099,US,ИМ,2,1,01/2016,523825,0,40000,369208
9032108900,LT,ИМ,1,ШТ,01/2016,31,153,45000,885
4202918000,MA,ИМ,1,ШТ,01/2016,16,5,45000,716
4012909000,FR,ИМ,1,ШТ,01/2016,39,15,46000,175
7318157009,JP,ИМ,4,1,01/2016,235,0,73000,586
9032200000,CN,ИМ,1,ШТ,01/2016,0,1,70000,10
3926909200,IT,ИМ,5,1,01/2016,1,0,75000,36
8507102003,KR,ИМ,7,ШТ,01/2016,63393,4829,5000,153906
8544499309,SE,ИМ,2,1,01/2016,99,0,41000,2838
6204310000,PT,ИМ,1,ШТ,01/2016,577,1054,45000,76071
4011920000,BY,ИМ,2,ШТ,01/2016,34,2,49000,446
5515129000,ES,ИМ,1,М2,01/2016,1803,5493,45000,15379
8536105000,NL,ИМ,2,1,01/2016,1,0,40000,196
7307291008,IT,ИМ,1,1,01/2016,4,0,46000,265
7326909808,CN,ИМ,4,1,01/2016,40,0,63000,1416
8538100000,FR,ИМ,2,1,01/2016,1419,0,27000,7408
3926909709,JP,ИМ,4,1,01/2016,23,0,97000,1763
8481809908,DE,ИМ,4,1,01/2016,2729,0,22000,50138
8425420000,SE,ИМ,2,ШТ,01/2016,4,1,41000,489
8544429007,HU,ИМ,3,1,01/2016,2,0,3000,492
8512301009,IT,ИМ,1,1,01/2016,2,0,45000,587
7019909100,HK,ИМ,4,1,01/2016,16,0,92000,855
9029203109,CN,ИМ,4,ШТ,01/2016,3,4,94000,5
8481401000,DE,ИМ,5,1,01/2016,4,0,65000,1663
6805300002,DE,ИМ,1,1,01/2016,82,0,46000,1091
8504312909,HU,ИМ,2,ШТ,01/2016,224,234,41000,10043
4901100000,NL,ИМ,1,1,01/2016,1,0,45000,19
8531109500,CN,ИМ,7,ШТ,01/2016,48,24,5000,549
8301600001,CZ,ИМ,1,1,01/2016,275,0,45000,1798
6912005000,CN,ИМ,5,1,01/2016,19454,0,65000,28707
8421310000,JP,ИМ,1,ШТ,01/2016,37,24,29000,675
6309000000,EE,ИМ,2,1,01/2016,21737,0,27000,96550
6109100000,RO,ИМ,2,ШТ,01/2016,2,18,27000,128
7318141000,TH,ИМ,2,1,01/2016,3,0,27000,11
5608900000,BY,ИМ,1,1,01/2016,2,0,66000,15
6402990500,MD,ИМ,1,ПАР,01/2016,663,610,45000,6128
6306900000,CN,ИМ,5,1,01/2016,3879,0,65000,16057
8467297000,CN,ИМ,1,ШТ,01/2016,7887,1768,45000,44017
7326909109,CZ,ИМ,1,1,01/2016,2,0,61000,789
3811210000,GB,ИМ,1,1,01/2016,7955,0,29000,34610
2008706100,PL,ИМ,1,1,01/2016,4699,0,46000,6552
6104430000,CN,ИМ,7,ШТ,01/2016,4,7,5000,39
7219341009,KR,ИМ,5,1,01/2016,31924,0,75000,67540
8701100000,BY,ИМ,1,ШТ,01/2016,2928,16,15000,12317
7318240009,PL,ИМ,2,1,01/2016,0,0,27000,3
4409101100,BY,ИМ,1,М,01/2016,76,84,45000,219
1905906000,IT,ИМ,2,1,01/2016,76,0,40000,230
8483602000,KR,ИМ,1,ШТ,01/2016,1542,194,45000,34259
6403919800,BG,ИМ,1,ПАР,01/2016,33,22,45000,426
2833293000,DE,ИМ,4,1,01/2016,0,0,80000,163
8501320009,CN,ИМ,6,ШТ,01/2016,920,1,84000,1684
9507100000,CN,ИМ,7,ШТ,01/2016,27,50,64000,4424
8207309000,HR,ИМ,1,1,01/2016,150,0,29000,11305
8714961000,CN,ИМ,7,ПАР,01/2016,15805,44684,5000,23656
8530800000,CZ,ИМ,2,ШТ,01/2016,565,1,40000,14083
8501109900,IE,ИМ,1,ШТ,01/2016,3,20,46000,1081
4203100001,ID,ИМ,6,1,01/2016,5,0,50000,353
8516808000,CZ,ИМ,1,ШТ,01/2016,10,12,45000,914
8507102002,JP,ИМ,1,ШТ,01/2016,17186,1112,29000,27007
7412200000,NL,ИМ,2,1,01/2016,0,0,41000,253
8204110000,GB,ИМ,2,1,01/2016,10,0,40000,262
8431390000,DE,ИМ,4,1,01/2016,107,0,92000,4539
3814009000,GB,ИМ,1,1,01/2016,550,0,46000,1897
3921903000,FI,ИМ,2,1,01/2016,63252,0,49000,154431
8408205799,DE,ИМ,3,ШТ,01/2016,4000,4,60000,6034
8481201009,PH,ИМ,1,1,01/2016,7,0,78000,74
1515906000,ES,ИМ,1,1,01/2016,10900,0,45000,38875
3005100000,GB,ИМ,1,1,01/2016,6,0,45000,334
9401610000,FR,ИМ,2,ШТ,01/2016,269,6,40000,6139
8504901100,TW,ИМ,1,1,01/2016,25,0,29000,792
5911901000,CH,ИМ,1,1,01/2016,5,0,46000,236
4420909900,LT,ИМ,1,1,01/2016,7554,0,46000,6432
3917400009,NL,ИМ,2,1,01/2016,5,0,41000,867
8481309909,NO,ИМ,1,1,01/2016,0,0,45000,2
8425490000,JP,ИМ,6,ШТ,01/2016,200,110,50000,1631
8708299009,AT,ИМ,1,1,01/2016,448,0,29000,12490
0401201900,BY,ИМ,1,1,01/2016,92125,0,15000,33719
7318158900,JP,ИМ,1,1,01/2016,5,0,29000,51
6104420000,IN,ИМ,2,ШТ,01/2016,19,83,27000,905
7318290009,CN,ИМ,2,1,01/2016,0,0,86000,6
9603909900,DE,ИМ,1,ШТ,01/2016,444,1010,61000,7245
3922900000,PL,ИМ,2,1,01/2016,5205,0,40000,18196
7217304100,CN,ИМ,1,1,01/2016,118767,0,45000,102494
7307291008,SG,ИМ,2,1,01/2016,21,0,40000,1082
8443399009,DE,ИМ,1,ШТ,01/2016,10,3,45000,1429
8442508000,CN,ИМ,1,1,01/2016,242639,0,45000,1146165
2005202000,PL,ИМ,1,1,01/2016,1104,0,45000,3394
3903300000,DE,ИМ,1,1,01/2016,1250,0,45000,3289
7307921000,CN,ИМ,2,1,01/2016,11,0,27000,31
8507500000,CN,ИМ,1,ШТ,01/2016,3528,86564,46000,89136
9608200000,DE,ИМ,3,ШТ,01/2016,2,100,18000,176
8207903000,CH,ИМ,1,1,01/2016,0,0,45000,97
8432301900,CN,ИМ,2,ШТ,01/2016,99,60,40000,257
8539219800,JP,ИМ,2,ШТ,01/2016,1,101,40000,909
7604299000,BY,ИМ,1,1,01/2016,59718,0,46000,152939
3921110000,NL,ИМ,2,1,01/2016,384,0,40000,1651
6204631800,MA,ИМ,2,ШТ,01/2016,4,10,27000,194
9603909900,CN,ИМ,5,ШТ,01/2016,262,1135,75000,1436
9403700008,GB,ИМ,1,1,01/2016,18,0,45000,656
5509520000,CN,ИМ,6,1,01/2016,14675,0,1000,44760
8471500000,JP,ИМ,7,ШТ,01/2016,6,1,5000,660
9015809300,DK,ИМ,1,ШТ,01/2016,4,4,45000,9115
6204238000,CN,ИМ,6,ШТ,01/2016,1768,2076,25000,39638
8413308008,BE,ИМ,1,ШТ,01/2016,34,2,46000,5040
1806901900,CH,ИМ,2,1,01/2016,8,0,27000,64
7325999009,FI,ИМ,4,1,01/2016,1940,0,92000,102952
9403202009,IL,ИМ,2,1,01/2016,544,0,40000,1361
7324900009,DE,ИМ,1,1,01/2016,115,0,46000,6179
8541409000,BY,ИМ,1,ШТ,01/2016,5,801,66000,490
1806907000,ES,ИМ,1,1,01/2016,10594,0,45000,75003
6403911600,IT,ИМ,2,ПАР,01/2016,8,4,27000,224
0902100001,SG,ИМ,1,1,01/2016,17,0,45000,1260
8418690008,SK,ИМ,1,1,01/2016,3656,0,46000,42238
9403500009,LT,ИМ,2,ШТ,01/2016,458,8,27000,2616
7013379900,CN,ИМ,9,ШТ,01/2016,135,576,35000,230
8708409909,TH,ИМ,1,1,01/2016,10,0,45000,463
3202900000,ES,ИМ,3,1,01/2016,3500,0,60000,7369
4016920000,CN,ИМ,4,1,01/2016,1795,0,89000,4077
7219331009,CN,ИМ,2,1,01/2016,51864,0,27000,99060
3307300000,CZ,ИМ,1,1,01/2016,28,0,29000,72
8302419000,CZ,ИМ,1,1,01/2016,56,0,45000,319
6110209900,CN,ИМ,1,ШТ,01/2016,8038,31774,46000,237364
3303009000,BY,ИМ,2,1,01/2016,425,0,27000,4470
9105910000,IN,ИМ,2,ШТ,01/2016,4,2,40000,24
2523290000,BY,ИМ,1,1,01/2016,737480,0,66000,25162
8421230000,US,ИМ,7,ШТ,01/2016,69,25,64000,7141
2915290000,NL,ИМ,1,1,01/2016,6,0,45000,490
1511909908,ID,ИМ,1,1,01/2016,180000,0,45000,125369
7307229000,US,ИМ,1,1,01/2016,16,0,45000,2789
0602907000,BY,ИМ,1,ШТ,01/2016,7757,19791,66000,9597
8708923509,CN,ИМ,5,1,01/2016,53,0,65000,117
8526100009,SE,ИМ,2,ШТ,01/2016,180,2,40000,27304
3907999000,CN,ИМ,1,1,01/2016,122600,0,46000,214857
2917140000,GB,ИМ,1,1,01/2016,1,0,45000,16
8536303000,PH,ИМ,1,1,01/2016,1,0,45000,200
2501009190,IE,ИМ,1,1,01/2016,533,0,46000,19995
2507002000,CZ,ИМ,5,1,01/2016,20885,0,71000,8027
0706100001,BY,ИМ,1,1,01/2016,21000,0,70000,3939
5705003000,IL,ИМ,2,М2,01/2016,6871,2841,40000,28857
9026204000,US,ИМ,5,ШТ,01/2016,4,5,71000,482
4009110000,CZ,ИМ,1,1,01/2016,107,0,29000,849
6303929000,UA,ИМ,3,М2,01/2016,90,36,60000,3990
3402119000,IT,ИМ,1,1,01/2016,12380,0,66000,21986
4910000000,FR,ИМ,1,1,01/2016,5,0,45000,12
7324900009,CN,ИМ,6,1,01/2016,15,0,1000,46
8408904509,CN,ИМ,2,ШТ,01/2016,5800,20,40000,28000
2103200000,VN,ИМ,2,1,01/2016,143536,0,40000,70043
9405403109,US,ИМ,1,1,01/2016,2,0,45000,139
4818101000,KZ,ИМ,5,1,01/2016,72,0,75000,39
9027809900,US,ИМ,1,ШТ,01/2016,36,35,45000,9564
2005999000,IL,ИМ,1,1,01/2016,1029,0,45000,4082
6117100000,VN,ИМ,1,ШТ,01/2016,0,7,45000,9
6110201000,MO,ИМ,1,ШТ,01/2016,30,120,45000,3492
8708913509,KR,ИМ,6,1,01/2016,60,0,25000,420
3921140000,CN,ИМ,7,1,01/2016,7,0,5000,11
3810909000,HU,ИМ,2,1,01/2016,1,0,27000,271
8421392009,JP,ИМ,2,ШТ,01/2016,6,428,27000,5013
4819200000,CN,ИМ,2,1,01/2016,35437,0,40000,48588
8203100000,CZ,ИМ,2,1,01/2016,0,0,40000,17
7608202009,HU,ИМ,4,1,01/2016,1242,0,92000,35736
9506290000,MY,ИМ,1,ШТ,01/2016,170,458,45000,3119
8421290009,DE,ИМ,4,ШТ,01/2016,46,64,92000,4876
8481409009,KR,ИМ,4,1,01/2016,189,0,92000,2420
6110209900,ID,ИМ,1,ШТ,01/2016,671,4113,46000,10703
8419200000,CN,ИМ,6,ШТ,01/2016,6424,120,52000,114051
8501402009,CN,ИМ,5,ШТ,01/2016,106,7,65000,249
2002109000,BG,ИМ,2,1,01/2016,4415,0,40000,2862
8421310000,CN,ИМ,6,ШТ,01/2016,642,200,1000,2365
3926909709,GB,ИМ,8,1,01/2016,5,0,7000,589
2005999000,BY,ИМ,2,1,01/2016,81,0,47000,133
8423300000,UA,ИМ,9,ШТ,01/2016,340,2,67000,33048
8536501509,TW,ИМ,1,1,01/2016,0,0,46000,3
6107910000,IT,ИМ,1,ШТ,01/2016,1,1,45000,21
8481808199,PL,ИМ,1,1,01/2016,3756,0,46000,27776
7318155100,TW,ИМ,1,1,01/2016,0,0,46000,5
8208900000,DE,ИМ,1,1,01/2016,85,0,20000,16105
3215110000,BE,ИМ,2,1,01/2016,24,0,40000,240
8537109100,US,ИМ,2,1,01/2016,1,0,41000,455
2005208000,BE,ИМ,1,1,01/2016,3112,0,46000,6232
9030840009,MY,ИМ,1,ШТ,01/2016,881,46,45000,1525570
6110209100,CN,ИМ,1,ШТ,01/2016,15841,41688,46000,498108
8462491000,IR,ИМ,3,ШТ,01/2016,2368,1,60000,6348
8467219900,CN,ИМ,1,ШТ,01/2016,2,2,17000,32
8422400008,IT,ИМ,2,ШТ,01/2016,16592,1,40000,3479609
7318156900,VN,ИМ,1,1,01/2016,2,0,45000,7
8471703000,JP,ИМ,1,ШТ,01/2016,10,12,45000,6930
8413705100,BY,ИМ,1,ШТ,01/2016,4,1,66000,70
0401201109,KZ,ИМ,6,1,01/2016,34560,0,52000,12125
3304300000,BY,ИМ,1,1,01/2016,62,0,70000,920
4411129000,BY,ИМ,1,М2,01/2016,281814,125720,66000,128403
8408205508,JP,ИМ,4,ШТ,01/2016,5076,18,73000,50623
3306100000,BY,ИМ,8,1,01/2016,185,0,7000,505
6204530000,MM,ИМ,1,ШТ,01/2016,264,768,46000,5049
7318190009,BY,ИМ,4,1,01/2016,4,0,22000,70
3923501000,CN,ИМ,2,1,01/2016,12360,0,40000,131426
3919900000,PL,ИМ,4,1,01/2016,24,0,22000,956
7323939000,CN,ИМ,3,1,01/2016,73545,0,3000,274381
8708709909,LK,ИМ,1,1,01/2016,4863,0,45000,12079
2932209000,US,ИМ,1,1,01/2016,0,0,45000,186
6908909100,BY,ИМ,3,М2,01/2016,196543,11368,3000,35105
2615100000,UA,ИМ,3,1,01/2016,20000,0,18000,23610
7907000001,DE,ИМ,1,1,01/2016,53,0,45000,5653
4504908000,PT,ИМ,1,1,01/2016,7,0,45000,27
6805200000,CN,ИМ,1,1,01/2016,2863,0,45000,13290
7013411000,BY,ИМ,2,ШТ,01/2016,806,884,27000,4812
3506910000,IT,ИМ,2,1,01/2016,2720,0,58000,7507
3824300000,BE,ИМ,2,1,01/2016,4,0,40000,245
8414308105,DE,ИМ,1,ШТ,01/2016,530,120,29000,5897
8542319010,SG,ИМ,2,ШТ,01/2016,1,548,40000,135212
8450111100,UA,ИМ,1,ШТ,01/2016,203674,3494,45000,527495
